D_M,D_F,CI_M,CI_F,CID_M,CID_F,AD1,AD2,AD3,AD4
0.03034,0.020241,0.04278,0.02769,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.033684,0.022715,0.04646,0.02964,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.037371,0.025479,0.05031,0.03171,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.04143,0.028561,0.0543,0.0339,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.045902,0.031989,0.05834,0.03621,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.050829,0.035796,0.06233,0.03894,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.056262,0.040026,0.06621,0.04172,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.062257,0.044726,0.06992,0.04457,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.068871,0.049954,0.07344,0.04749,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.076187,0.055774,0.07676,0.05048,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.084224,0.062253,0.07985,0.05348,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.093071,0.069494,0.08273,0.05648,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.1028,0.077511,0.0854,0.05952,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.113489,0.086415,0.08793,0.06261,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.125221,0.096294,0.09036,0.06573,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.13808,0.107243,0.09269,0.06884,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.152157,0.119364,0.09495,0.07196,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.167543,0.132763,0.09717,0.07509,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.184333,0.147553,0.09936,0.07826,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.202621,0.16385,0.1016,0.0815,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.2225,0.181775,0.10343,0.0842,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.244059,0.201447,0.10539,0.08712,0,0,0.0002,0.0000325,0.0000225,0.0000075
0.267383,0.222987,0.10757,0.09038,0,0,0.0002,0.0000325,0.0000225,0.0000075
